"employees","salaries_2017","adjustments","raise"
"Employee 88",44940.9627006389,-4291.86294320971,FALSE
"Employee 89",40069.9259177782,2380.47389313579,TRUE
"Employee 90",41957.1678293869,-3731.0436705593,FALSE
"Employee 91",49233.4280791692,3725.23243539035,TRUE
"Employee 92",48410.0351762027,-1612.26803087629,FALSE
"Employee 93",46408.6202252656,3342.91245788336,TRUE
"Employee 94",45789.2886851914,7107.40593844093,TRUE
"Employee 95",40516.216144897,-3485.35764496773,FALSE
"Employee 96",48255.6485780515,163.138932548463,TRUE
"Employee 97",40880.0420700572,-1757.85956555046,FALSE
"Employee 98",42093.7467762269,6912.84625674598,TRUE
"Employee 99",45825.9113389067,-4894.68421204947,FALSE
"Employee 100",40358.7254579179,-2902.69746561535,FALSE
